name,threshold,accuracy,precision,recall,f1,auc
"Baseline (SGD, no tuning)",0.5,0.7877927608232789,0.6175548589341693,0.5267379679144385,0.5685425685425686,0.8326823219406339
Optimized (SGD),0.6,0.7650816181689141,0.5434343434343434,0.7192513368983957,0.619102416570771,0.8353690356247901
Optimized (RMSprop),0.6,0.7735982966643009,0.5588865096359743,0.6978609625668449,0.6206896551724138,0.8366348911105945
Optimized (Adam),0.6,0.7714691270404542,0.5534979423868313,0.7192513368983957,0.6255813953488372,0.8388514299000233
